Depth(ft),Field Name,Well Name,Facies Association ,Operation Code,Operation Code-Numeric,Group Facies Association ,Perm(mD),Porosity (Frac),CEC,KKLCorrection Factor,Corrected K (mD),Corrected PhiT,Kv,Log(R35),R35,R35 Grouping,RQI,NPHI,FZI,HFU
6015.299,ABC,5,FA-2,F6-Sdfl,6,GFA-3,130.52,0.211,-999.25,0.068066462,0,0.20678,17.01998816,0.831838073,6.789504381,2,0.780956696,0.267427123,2.920259873,3
6232.5,ABC,5,FA-2,F6-Sdfl,6,GFA-2,126.76,0.225,-999.25,0.068649925,118.0579355,0.2205,14.19525508,0.800267856,6.313466144,2,0.745297225,0.290322581,2.567134887,3
6340.2044,ABC,5,FA-2,F6-Sdfl,6,GFA-2,126.24,0.217,-999.25,0.068732376,117.5632248,,19.95247836,0.812802618,6.498342802,2,0.757352867,0.277139208,2.732752513,3
5829.079,ABC,118,FA-2,F6-Sdfl,6,GFA-2,124.337,0.209,-999.25,0.069037899,115.7530348,,22.88535825,0.823018635,6.653017026,2,0.765872891,0.264222503,2.898590701,3
6338.4682,ABC,5,FA-2,F6-Sdfl,6,GFA-2,122.99,0.249,-999.25,0.069257833,114.4719792,0.24402,9.799899384,0.754527207,5.682339888,2,0.697854487,0.331557923,2.104773975,2
6016.9,ABC,5,FA-2,F6-Sdfl,6,GFA-3,120.71,0.22,-999.25,0.069637288,112.304083,0.2156,1.36513669,0.796211835,6.254777061,2,0.735512288,0.282051282,2.607725384,3
6339.1983,ABC,5,FA-2,F6-Sdfl,6,GFA-2,103.68,0.218,-999.25,0.072799424,96.13215575,0.21364,23.04471129,0.760802243,5.765038909,2,0.684776575,0.278772379,2.456400375,2
6346.5086,ABC,5,FA-2,F6-Sdfl,6,GFA-2,99.43,0.239,-999.25,0.07369462,92.1025439,0.23422,10.25425122,0.715604468,5.195226278,2,0.640456175,0.314060447,2.039276775,2
6289.0581,ABC,5,FA-2,F6-Sdfl,6,GFA-2,99.29,0.192,-999.25,0.073724947,91.96985001,0.18816,16.99902197,0.797408179,6.272030747,2,0.714055205,0.237623762,3.00498232,3
5859.1,ABC,5,FA-2,F6-Sdfl,6,GFA-2,94.47,0.248,-999.25,0.07480404,87.40326232,0.24304,16.21971227,0.68866657,4.8827734,2,0.612845167,0.329787234,1.858304699,2
5826.402,ABC,118,FA-2,F6-Sdfl,6,GFA-2,93.506,0.21,-999.25,0.075028411,86.49039338,0.2058,17.92892343,0.748456143,5.603458284,2,0.662582163,0.265822785,2.492570994,2
6018.901,ABC,5,FA-2,F6-Sdfl,6,GFA-3,86.75,0.219,-999.25,0.07668955,80.09718154,0.21462,4.844441827,0.713558741,5.170811917,2,0.624945769,0.280409731,2.228687881,2
5703.669,ABC,118,FA-2,F6-Sdfl,6,GFA-2,82.936,0.184,-999.25,0.07770302,76.49162235,0.18032,13.91744312,0.767418335,5.85353656,2,0.666641398,0.225490196,2.956409676,3
6336.4569,ABC,5,FA-2,F6-Sdfl,6,GFA-2,79.61,0.223,-999.25,0.078637253,73.34968832,0.21854,15.24959677,0.684833561,4.839868491,2,0.593281804,0.287001287,2.067174715,2
6342.2129,ABC,5,FA-2,F6-Sdfl,6,GFA-2,75.08,0.232,-999.25,0.07999407,69.07404523,0.22736,13.84622506,0.655026648,4.518836711,2,0.56486906,0.302083333,1.869911372,2
5836.6379,ABC,118,FA-2,F6-Sdfl,6,GFA-2,69.39,0.178,-999.25,0.081856314,63.70999034,0.17444,8.034659397,0.734319688,5.424000087,2,0.619966311,0.216545012,2.862990493,3
5870.9259,ABC,118,FA-2,F6-Sdfl,6,GFA-2,64.229,0.192,-999.25,0.083724657,58.85144898,0.18816,5.207521967,0.686173661,4.854825906,2,0.574307667,0.237623762,2.416878097,2
5871.9444,ABC,118,FA-2,F6-Sdfl,6,GFA-2,59.034,0.212,-999.25,0.085812199,53.96816263,0.20776,3.267309353,0.627453916,4.24085981,2,0.523977723,0.269035533,1.947615309,2
6354.55,ABC,5,FA-2,F6-Sdfl,6,GFA-2,48.96,0.209,-999.25,0.090631087,44.522702,0.20482,4.272269568,0.585020357,3.8460981,2,0.480592744,0.264222503,1.81889407,2
5868.4601,ABC,118,FA-2,F6-Sdfl,6,GFA-2,44.978,0.188,-999.25,0.092904091,40.79935981,0.18424,2.51174717,0.603091701,4.00951369,2,0.485680642,0.231527094,2.097727026,2
5697.75,ABC,118,FA-2,F6-Sdfl,6,GFA-2,42.641,0.169,-999.25,0.094362901,38.61727155,0.16562,9.671994275,0.629444387,4.260341251,2,0.498769613,0.203369434,2.45252987,2
6351.5345,ABC,5,FA-2,F6-Sdfl,6,GFA-2,41.03,0.201,-999.25,0.095430068,37.11450429,0.19698,1.084569994,0.554542298,3.585438672,2,0.44862387,0.251564456,1.783335684,2
6286.7326,ABC,5,FA-2,F6-Sdfl,6,GFA-2,41,0.183,-999.25,0.095450453,37.08653144,0.17934,1.06025108,0.589559166,3.886504422,2,0.469998023,0.223990208,2.098297187,2
6288.1279,ABC,5,FA-2,F6-Sdfl,6,GFA-2,39.44,0.186,-999.25,0.096537779,35.63255001,0.18228,6.350834047,0.573551717,3.745861512,2,0.457237276,0.228501229,2.00102765,2
6020.899,ABC,5,FA-2,F6-Sdfl,6,GFA-3,39.43,0.183,-999.25,0.096544927,35.62323352,0.17934,1.396089532,0.579588403,3.798292478,2,0.460911444,0.223990208,2.057730328,2
5857.801,ABC,5,FA-2,F6-Sdfl,6,GFA-2,31.06,0.208,-999.25,0.103511369,27.84493686,0.20384,1.135924665,0.470607732,2.955341906,1,0.383706102,0.262626263,1.461034775,1
6285.2442,ABC,5,FA-2,F6-Sdfl,6,GFA-2,27.94,0.18,-999.25,0.106761033,24.95709673,0.1764,1.327970923,0.49782568,3.146485102,2,0.391206981,0.219512195,1.782165137,2
5835.6034,ABC,118,FA-2,F6-Sdfl,6,GFA-2,26.064,0.186,-999.25,0.108949913,23.22432948,0.18228,0.378221108,0.467772964,2.936114336,1,0.371700983,0.228501229,1.626691398,2
5864.901,ABC,5,FA-2,F6-Sdfl,6,GFA-2,24.11,0.227,-999.25,0.111457499,21.42275971,0.22246,1.73064401,0.373125619,2.361161097,1,0.323605076,0.293661061,1.101967945,1
6170.3,ABC,5,FA-2,F6-Sdfl,6,GFA-2,24,0.206,-999.25,0.111606425,21.32144581,0.20188,0.574405433,0.408382932,2.560842871,1,0.338923481,0.259445844,1.306336137,1
5869.5703,ABC,118,FA-2,F6-Sdfl,6,GFA-2,23.453,0.181,-999.25,0.112360314,20.81781356,0.17738,3.305737494,0.451042373,2.825155602,1,0.357428816,0.221001221,1.617316023,2
6170.301,ABC,5,FA-2,F6-Sdfl,6,GFA-2,22.05,0.209,-999.25,0.114402514,19.52742456,0.20482,0.381447035,0.381317862,2.406123207,1,0.322523083,0.264222503,1.220649561,1
6296.5,ABC,5,FA-2,F6-Sdfl,6,GFA-2,21.35,0.176,-999.25,0.115485297,18.8843889,0.17248,4.252794232,0.437563008,2.738816957,1,0.345837636,0.213592233,1.619148932,2
6169.1,ABC,5,FA-2,F6-Sdfl,6,GFA-2,20.97,0.215,-999.25,0.116092493,18.53554043,0.2107,1.862619807,0.357873048,2.279675584,1,0.310105617,0.27388535,1.132246091,1
5862.601,ABC,5,FA-2,F6-Sdfl,6,GFA-2,18,0.188,-999.25,0.121386756,15.81503839,0.18424,1.386545503,0.369227851,2.340064624,1,0.307246522,0.231527094,1.32704349,1
5877.8632,ABC,118,FA-2,F6-Sdfl,6,GFA-2,16.947,0.182,-999.25,0.123542325,14.85332821,0.17836,2.528834257,0.366004905,2.322763027,1,0.302998423,0.222493888,1.361828079,1
5694.67,ABC,118,FA-2,F6-Sdfl,6,GFA-2,16.69,0.168,-999.25,0.124094813,14.61885758,0.16464,1.937579505,0.392137107,2.466817988,1,0.312970336,0.201923077,1.549948329,2
6172.5,ABC,5,FA-2,F6-Sdfl,6,GFA-2,12.84,0.223,-999.25,0.13397072,11.11981596,0.21854,2.423013748,0.218900832,1.655391925,1,0.238264713,0.287001287,0.830186915,1
5616.7184,ABC,1,FA-2,F6-Sdfl,6,GFA-2,12,0.239,-999.25,0.136643807,10.36027431,0.23422,0.154681998,0.175622786,1.498382825,1,0.222495546,0.314060447,0.70844816,1
5870.3148,ABC,118,FA-2,F6-Sdfl,6,GFA-2,10.555,0.173,-999.25,0.141860365,9.057663848,0.16954,2.0859119,0.264121611,1.837052681,1,0.245265078,0.209189843,1.172452135,1
5758.2916,ABC,118,FA-2,F6-Sdfl,6,GFA-2,8,0.166,-999.25,0.153818511,6.769451915,0.16268,1.81205876,0.208843524,1.617497151,1,0.217981982,0.199040767,1.095162489,1
5860.301,ABC,5,FA-2,F6-Sdfl,6,GFA-2,7.35,0.214,-999.25,0.157672145,6.191109736,0.20972,1.072664037,0.091899455,1.235661329,1,0.184020595,0.272264631,0.675888728,1
5855.701,ABC,5,FA-2,F6-Sdfl,6,GFA-2,7.01,0.203,-999.25,0.15986788,5.889326158,0.19894,0.212051229,0.099605618,1.257782702,1,0.184518807,0.254705144,0.724440834,1
5849.7112,ABC,118,FA-2,F6-Sdfl,6,GFA-2,6.828,0.169,-999.25,0.161100605,5.728005066,0.16562,0.115534439,0.161670473,1.451010224,1,0.199587368,0.203369434,0.981402977,1
5615.28,ABC,1,FA-2,F6-Sdfl,6,GFA-2,6,0.228,-999.25,0.167297986,4.996212083,0.22344,0.393011977,0.016297227,1.038238734,1,0.161078601,0.295336788,0.545406492,1
5864,ABC,5,FA-2,F6-Sdfl,6,GFA-2,5.43,0.195,-999.25,0.172246072,4.494703827,0.1911,0.030706839,0.049472396,1.120656193,1,0.165696089,0.242236025,0.684027444,1
6168,ABC,5,FA-2,F6-Sdfl,6,GFA-2,5.38,0.198,-999.25,0.172711976,4.450809568,0.19404,0.415347392,0.041381254,1.099971046,1,0.163677201,0.246882793,0.662975331,1
6164.301,ABC,5,FA-2,F6-Sdfl,6,GFA-2,5.22,0.194,-999.25,0.174241295,4.310460438,0.19012,0.092775991,0.041329561,1.099840128,1,0.162878603,0.240694789,0.676701823,1
5617.7184,ABC,1,FA-2,F6-Sdfl,6,GFA-2,4,0.225,-999.25,0.1883256,3.246697598,0.2205,0.248266633,-0.082274421,0.827419171,1,0.132394025,0.290322581,0.456023863,0
6019.902,ABC,5,FA-2,F6-Sdfl,6,GFA-3,3.63,0.214,-999.25,0.193739486,2.926725665,0.20972,0.393922073,-0.088252405,0.816107925,1,0.12932309,0.272264631,0.474990416,0
5699.7838,ABC,1,FA-2,F6-Sdfl,6,GFA-3,3,0.206,-999.25,0.204829013,2.385512962,0.20188,0.21414638,-0.122633981,0.753990752,1,0.119827546,0.259445844,0.46185957,0
5967.401,ABC,5,FA-2,F6-Sdfl,6,GFA-3,2.5,0.103,-999.25,0.216029169,1.959927077,0.10094,0.094362983,0.090897363,1.232813447,1,0.154696697,0.114827202,1.34721298,1
5811.375,ABC,3,FA-2,F6-Sdfl,6,GFA-2,2.31,0.185,-999.25,0.221073242,1.799320811,0.1813,0.213952065,-0.149032529,0.709524622,1,0.11095574,0.226993865,0.488805016,0
5884.0556,ABC,118,FA-2,F6-Sdfl,6,GFA-2,2.305,0.206,-999.25,0.221213164,1.795103658,0.20188,0.073501406,-0.189930772,0.645757157,1,0.105034386,0.259445844,0.404841276,0
5969.399,ABC,5,FA-2,F6-Sdfl,6,GFA-3,2.09,0.111,-999.25,0.2276293,1.614254763,0.10878,0.19010384,0.017086963,1.040128419,1,0.136251503,0.124859393,1.091239515,1
5696.731,ABC,1,FA-2,F6-Sdfl,6,GFA-3,2,0.157,-999.25,0.230573886,1.538852228,0.15386,0.072536457,-0.124251662,0.751187474,1,0.112071406,0.18623962,0.601759204,1
6166,ABC,5,FA-2,F6-Sdfl,6,GFA-2,1.9,0.186,-999.25,0.234053331,1.455298671,0.18228,0.161409367,-0.200952066,0.629575666,1,0.100357533,0.228501229,0.439199096,0
5759.1019,ABC,118,FA-2,F6-Sdfl,6,GFA-2,1.844,0.153,-999.25,0.236106906,1.408618865,0.14994,0.330981312,-0.135305977,0.732308412,1,0.109009511,0.180637544,0.603470952,1
6164.799,ABC,5,FA-2,F6-Sdfl,6,GFA-2,1.82,0.17,-999.25,0.237011835,1.38863846,0.1666,0.034696362,-0.178185892,0.663459028,1,0.102740312,0.204819277,0.501614466,1
5850.636,ABC,118,FA-2,F6-Sdfl,6,GFA-2,1.523,0.047,-999.25,0.249667784,1.142755965,0.04606,0.298010821,0.258734994,1.814408175,1,0.17874367,0.049317943,3.624313139,4
6167,ABC,5,FA-2,F6-Sdfl,6,GFA-2,1.33,0.192,-999.25,0.259744404,0.984539943,0.18816,0.056266982,-0.303947497,0.49665236,1,0.082642768,0.237623762,0.347788315,0
5879,ABC,118,FA-2,F6-Sdfl,6,GFA-2,1.037,0.186,-999.25,0.279320931,0.747344194,0.18228,0.269680803,-0.355581275,0.440979829,1,0.074141702,0.228501229,0.324469601,0
5698.7662,ABC,1,FA-2,F6-Sdfl,6,GFA-3,1,0.113,-999.25,0.2823,0.7177,0.11074,0.138112907,-0.177859775,0.663957414,1,0.093409366,0.127395716,0.733222195,1
5881.829,ABC,118,FA-2,F6-Sdfl,6,GFA-2,0.835,0.195,-999.25,0.297562657,0.586535182,0.1911,0.181547028,-0.428638257,0.372702017,,0.06497639,0.242236025,0.268235867,0
5882.5,ABC,118,FA-2,F6-Sdfl,6,GFA-2,0.789,0.173,-999.25,0.302527176,0.550306058,0.16954,0.101118125,-0.398190555,0.399769305,,0.067057151,0.209189843,0.320556439,0
5889.419,ABC,118,FA-2,F6-Sdfl,6,GFA-2,0.767,0.165,-999.25,0.305035673,0.533037639,0.1617,0.176033034,-0.387646454,0.409593962,1,0.067699484,0.19760479,0.342600419,0
5880.6612,ABC,118,FA-2,F6-Sdfl,6,GFA-2,0.707,0.174,-999.25,0.312377978,0.48614877,0.17052,0.133734429,-0.428375935,0.372927204,,0.063294319,0.210653753,0.300466135,0
5877.2648,ABC,118,FA-2,F6-Sdfl,6,GFA-2,0.694,0.102,-999.25,0.314075394,0.476031677,0.09996,0.110798403,-0.23271118,0.585179118,1,0.081904789,0.113585746,0.721083341,1
5878.6,ABC,118,FA-2,F6-Sdfl,6,GFA-2,0.66,0.153,-999.25,0.318716134,0.449647351,0.14994,0.141183039,-0.397681562,0.400238109,1,0.065216262,0.180637544,0.361033815,0
5887.5,ABC,118,FA-2,F6-Sdfl,6,GFA-2,0.606,0.148,-999.25,0.326759988,0.407983447,0.14504,0.233544755,-0.407012219,0.391730855,,0.063538229,0.17370892,0.365774126,0
5886.5,ABC,118,FA-2,F6-Sdfl,6,GFA-2,0.576,0.182,-999.25,0.331640463,0.384975093,0.17836,0.253235837,-0.497573259,0.317999723,,0.055860549,0.222493888,0.251065542,0
5890.5,ABC,118,FA-2,F6-Sdfl,6,GFA-2,0.419,0.133,-999.25,0.363935469,0.266511039,0.13034,0.232529645,-0.461145972,0.345823122,,0.055732797,0.153402537,0.363310789,0
5883.2778,ABC,118,FA-2,F6-Sdfl,6,GFA-2,0.373,0.143,-999.25,0.376505998,0.232563263,0.14014,0.226946228,-0.518045543,0.303357305,,0.05071262,0.166861144,0.303921084,0
5684.3,ABC,118,FA-2,F6-Sdfl,6,GFA-2,0.229,0.098,-999.25,0.434149112,0.129579853,0.09604,0.223238802,-0.500836066,0.315619578,,0.047999239,0.10864745,0.441788914,0
5888.671,ABC,118,FA-2,F6-Sdfl,6,GFA-2,0.207,0.157,-999.25,0.447144134,0.114441164,0.15386,0.256963018,-0.703466737,0.197939862,,0.036054958,0.18623962,0.193594456,0
5884.8333,ABC,118,FA-2,F6-Sdfl,6,GFA-2,0.189,0.099,-999.25,0.459181129,0.102214767,0.09702,0.24054738,-0.553669267,0.279467129,,0.043385335,0.109877913,0.39485037,0
5885.7426,ABC,118,FA-2,F6-Sdfl,6,GFA-2,0.175,0.15,-999.25,0.469616955,0.092817033,0.147,0.235082021,-0.729236475,0.186536372,,0.033915876,0.176470588,0.192189966,0
5892.7972,ABC,118,FA-2,F6-Sdfl,6,GFA-2,0.119,0.178,-999.25,0.525594928,0.056454204,0.17444,0.216486198,-0.891941269,0.128250401,,0.025673976,0.216545012,0.118561843,0
6212.85,ABC,5,FA-2,F6-Sdfl,8,GFA-2,734.51,0.24,-999.25,0.041099785,704.3217972,0.2352,75.52507868,1.224704142,16.77660743,4,1.737092254,0.315789474,5.500792137,6
6220.5,ABC,5,FA-2,F6-Sdfl,8,GFA-2,613.53,0.236,-999.25,0.043317444,586.9534485,0.23128,35.24035231,1.185051482,15.3126897,4,1.601000798,0.308900524,5.182900887,5
6217.95,ABC,5,FA-2,F6-Sdfl,8,GFA-2,589.06,0.233,-999.25,0.043835331,563.2383597,0.22834,58.94922108,1.17945829,15.11674509,4,1.578815764,0.303780965,5.197217558,5
